fare,sex,embarked,survived,pclass,sibsp,age,parch,sexx,emb,agee,FARE,sib,parch
52,male,S,0,1,1,31,0,1,1,1,1,1,0
57,male,S,1,1,1,31,0,1,1,1,1,1,0
13,male,S,0,2,0,52,0,1,1,2,0,0,0
25.9292,female,S,1,1,0,49,0,0,1,2,0,0,0
6.975,male,S,1,3,0,27,0,1,1,1,0,0,0
53.1,female,S,1,1,1,33,0,0,1,1,1,1,0
39.6875,male,S,0,3,4,7,1,1,1,0,0,2,1
8.1583,male,S,0,3,0,19,0,1,1,1,0,0,0
20.575,male,S,0,3,1,26,2,1,1,1,0,1,2
63.3583,male,C,1,1,0,23,1,1,0,1,1,0,1
11.2417,male,C,1,3,1,12,0,1,0,0,0,1,0
6.75,male,Q,0,3,0,19,0,1,2,1,0,0,0
8.6625,male,S,0,3,0,17,0,1,1,1,0,0,0
13,female,S,1,2,0,32,0,0,1,1,0,0,0
27.7208,female,C,1,1,0,44,0,0,0,2,0,0,0
6.4958,male,S,0,3,0,34,0,1,1,1,0,0,0
113.275,female,C,1,1,1,31,0,0,0,1,2,1,0
16.1,male,S,0,3,1,30,0,1,1,1,0,1,0
26.25,male,S,0,2,1,43,1,1,1,2,0,1,1
9.225,male,S,0,3,0,23,0,1,1,1,0,0,0
13,female,S,1,2,0,36,0,0,1,1,0,0,0
7.925,male,S,0,3,2,28,0,1,1,1,0,2,0
8.6625,female,S,0,3,0,20,0,0,1,1,0,0,0
19.2583,female,C,1,3,2,0.75,1,0,0,0,0,2,1
151.55,female,S,0,1,1,25,2,0,1,1,2,1,2
7.2292,male,C,0,3,1,17,1,1,0,1,0,1,1
39.6,female,C,1,1,1,48,0,0,0,2,0,1,0
7.8542,male,S,1,3,0,32,0,1,1,1,0,0,0
8.05,male,S,0,3,0,22,0,1,1,1,0,0,0
65,female,S,1,2,1,24,2,0,1,1,1,1,2
14.4,male,S,0,3,1,34,1,1,1,1,0,1,1
39.6875,female,S,0,3,0,41,5,0,1,2,0,0,2
15.5,female,Q,0,3,1,32,1,0,2,1,0,1,1
8.05,male,S,0,3,0,43,0,1,1,2,0,0,0
39,male,S,0,2,1,60,1,1,1,2,0,1,1
211.3375,female,S,1,1,0,15,1,0,1,1,2,0,1
7.2292,male,C,1,3,0,20,0,1,0,1,0,0,0
39.6875,male,S,0,3,4,2,1,1,1,0,0,2,1
13.8583,female,C,1,2,1,27,0,0,0,1,0,1,0
51.8625,male,S,0,1,0,54,0,1,1,2,1,0,0
16.7,female,S,1,3,1,4,1,0,1,0,0,1,1
47.1,male,S,0,1,0,28,0,1,1,1,0,0,0
23,female,S,1,2,0,34,1,0,1,1,0,0,1
8.6542,male,S,0,3,0,33,0,1,1,1,0,0,0
79.2,male,C,0,1,0,24,0,1,0,1,1,0,0
13,male,S,0,2,0,42,0,1,1,2,0,0,0
0,male,S,0,3,0,36,0,1,1,1,0,0,0
10.4625,female,S,0,3,0,2,1,0,1,0,0,0,1
7.25,male,S,0,3,0,22,0,1,1,1,0,0,0
7.8958,male,S,0,3,0,24,0,1,1,1,0,0,0
24,male,C,0,2,1,30,0,1,0,1,0,1,0
263,female,S,1,1,3,24,2,0,1,1,2,2,2
69.3,female,C,1,1,0,24,0,0,0,1,1,0,0
52,female,S,1,1,1,35,0,0,1,1,1,1,0
10.5,male,S,0,2,0,23,0,1,1,1,0,0,0
55.9,male,S,0,1,1,50,0,1,1,2,1,1,0
26.55,male,S,1,1,0,48,0,1,1,2,0,0,0
13.7917,female,C,1,2,0,23,0,0,0,1,0,0,0
22.525,male,S,0,3,0,28,0,1,1,1,0,0,0
57.9792,female,C,1,1,0,44,1,0,0,2,1,0,1
7.925,male,S,0,3,0,39,0,1,1,1,0,0,0
26,male,S,0,1,0,64,0,1,1,2,0,0,0
7.225,male,C,1,3,0,22,0,1,0,1,0,0,0
13,male,S,0,2,0,25,0,1,1,1,0,0,0
9.8417,female,S,1,3,0,18,0,0,1,1,0,0,0
26.2875,male,S,1,1,0,35,0,1,1,1,0,0,0
49.5042,female,C,1,1,0,24,0,0,0,1,0,0,0
18.7875,male,C,0,3,0,11,0,1,0,0,0,0,0
16.1,male,S,0,3,1,24,0,1,1,1,0,1,0
9.5,male,S,0,3,0,33,0,1,1,1,0,0,0
7.75,male,S,0,3,0,18,0,1,1,1,0,0,0
8.05,male,S,0,3,0,30.5,0,1,1,1,0,0,0
18,female,S,0,3,1,31,0,0,1,1,0,1,0
52,male,S,0,1,1,42,0,1,1,2,1,1,0
11.2417,female,C,1,3,1,14,0,0,0,0,0,1,0
83.475,male,S,0,1,1,45,0,1,1,2,1,1,0
34.375,male,S,0,3,1,16,3,1,1,1,0,1,2
7.65,female,S,1,3,0,21,0,0,1,1,0,0,0
14.5,male,S,0,3,0,40.5,2,1,1,2,0,0,2
13,male,S,0,2,0,19,0,1,1,1,0,0,0
83.475,female,S,1,1,1,35,0,0,1,1,1,1,0
7.775,male,S,0,3,0,29,0,1,1,1,0,0,0
13.5,male,S,0,2,0,59,0,1,1,2,0,0,0
86.5,female,S,1,1,0,30,0,0,1,1,1,0,0
8.6625,male,C,0,3,0,33,0,1,0,1,0,0,0
56.9292,female,C,1,1,0,30,0,0,0,1,1,0,0
135.6333,female,C,1,1,0,36,0,0,0,1,2,0,0
7.875,male,S,0,3,0,29,0,1,1,1,0,0,0
7.775,male,S,0,3,1,25,0,1,1,1,0,1,0
13,female,S,1,2,0,28,0,0,1,1,0,0,0
81.8583,male,S,1,1,0,4,2,1,1,0,1,0,2
56.4958,male,S,1,3,0,26,0,1,1,1,1,0,0
13.5,male,S,0,2,0,28,0,1,1,1,0,0,0
21.075,female,S,0,3,0,29,4,0,1,1,0,0,2
16.1,female,S,0,3,1,26,0,0,1,1,0,1,0
7.8542,male,S,0,3,0,20,0,1,1,1,0,0,0
46.9,female,S,0,3,1,43,6,0,1,2,0,1,2
7.8542,male,S,0,3,1,26,0,1,1,1,0,1,0
13,male,S,0,2,0,23,0,1,1,1,0,0,0
512.3292,male,C,1,1,0,35,0,1,0,1,2,0,0
20.25,male,S,0,3,1,16,1,1,1,1,0,1,1
23,female,S,1,2,1,4,1,0,1,0,0,1,1
23,female,S,1,2,1,54,3,0,1,2,0,1,2
7.8875,male,S,0,3,0,26,0,1,1,1,0,0,0
93.5,female,S,1,1,1,52,1,0,1,2,1,1,1
18.75,male,S,1,2,1,0.83,1,1,1,0,0,1,1
83.1583,female,C,1,1,1,39,1,0,0,1,1,1,1
8.6625,male,S,0,3,0,17,0,1,1,1,0,0,0
25.9292,female,S,1,1,0,48,0,0,1,2,0,0,0
11.1333,female,S,1,3,0,27,2,0,1,1,0,0,2
30.0708,female,C,1,2,1,14,0,0,0,0,0,1,0
16,female,S,1,2,0,55,0,0,1,2,0,0,0
7.8,male,S,0,3,0,21,0,1,1,1,0,0,0
27.9,male,S,0,3,3,4,2,1,1,0,0,2,2
7.925,female,S,1,3,4,17,2,0,1,1,0,2,2
9.2167,male,S,0,3,0,16,0,1,1,1,0,0,0
7.775,male,S,0,3,0,26,0,1,1,1,0,0,0
7.75,female,Q,1,3,0,22,0,0,2,1,0,0,0
14.4542,female,C,0,3,0,45,1,0,0,2,0,0,1
7.25,male,S,0,3,0,30,0,1,1,1,0,0,0
7.7958,male,S,1,3,0,21,0,1,1,1,0,0,0
7.7958,male,S,0,3,0,22,0,1,1,1,0,0,0
7.925,male,S,1,3,0,39,0,1,1,1,0,0,0
7.75,male,S,0,3,0,51,0,1,1,2,0,0,0
24.15,female,S,0,3,0,10,2,0,1,0,0,0,2
13,male,S,0,2,0,48,0,1,1,2,0,0,0
8.6625,male,S,0,3,0,38,0,1,1,1,0,0,0
9.5875,female,S,1,3,0,63,0,0,1,2,0,0,0
24.15,male,S,0,3,2,24,0,1,1,1,0,2,0
15.7417,male,C,1,3,1,20,1,1,0,1,0,1,1
69.3,female,C,1,1,0,24,0,0,0,1,1,0,0
7.55,female,S,1,3,0,23,0,0,1,1,0,0,0
7.925,male,S,1,3,1,20,0,1,1,1,0,1,0
8.6833,female,S,1,3,0,31,0,0,1,1,0,0,0
7.775,female,S,0,3,0,18,0,0,1,1,0,0,0
12.475,female,S,1,3,0,27,1,0,1,1,0,0,1
14.4542,female,C,1,3,1,15,0,0,0,1,0,1,0
7.8958,male,S,0,3,0,19,0,1,1,1,0,0,0
53.1,female,S,1,1,1,35,0,0,1,1,1,1,0
27.7208,male,C,0,1,0,40,0,1,0,2,0,0,0
14.4542,female,C,0,3,1,14.5,0,0,0,0,0,1,0
77.2875,male,S,0,1,0,54,1,1,1,2,1,0,1
36.75,male,S,0,2,1,19,1,1,1,1,0,1,1
8.05,male,S,1,3,0,16,0,1,1,1,0,0,0
13,male,S,0,2,0,27,0,1,1,1,0,0,0
26.25,female,S,1,2,0,8,2,0,1,0,0,0,2
90,male,Q,0,1,2,44,0,1,2,2,1,2,0
19.5,female,S,1,2,0,41,1,0,1,2,0,0,1
7.8542,female,S,1,3,0,26,0,0,1,1,0,0,0
26,female,S,1,2,1,24,0,0,1,1,0,1,0
13,female,S,1,2,0,36,0,0,1,1,0,0,0
66.6,male,S,0,1,1,29,0,1,1,1,1,1,0
7.05,male,S,0,3,0,35,0,1,1,1,0,0,0
19.5,female,S,1,2,0,13,1,0,1,0,0,0,1
7.05,male,S,0,3,0,38,0,1,1,1,0,0,0
7.0458,male,S,0,3,1,29,0,1,1,1,0,1,0
78.2667,female,C,1,1,1,54,0,0,0,2,1,1,0
86.5,female,S,1,1,0,16,0,0,1,1,1,0,0
20.525,male,S,0,3,1,33,1,1,1,1,0,1,1
13.5,male,S,0,2,0,52,0,1,1,2,0,0,0
12.475,male,S,1,3,0,6,1,1,1,0,0,0,1
8.05,male,S,0,3,0,34,0,1,1,1,0,0,0
79.2,male,C,0,1,0,46,0,1,0,2,1,0,0
8.6625,male,S,1,3,0,27,0,1,1,1,0,0,0
83.1583,female,C,1,1,0,56,1,0,0,2,1,0,1
26.55,female,S,1,1,0,58,0,0,1,2,0,0,0
13,male,S,1,2,0,34,0,1,1,1,0,0,0
7.2292,male,C,0,3,0,22,0,1,0,1,0,0,0
10.5,female,S,1,2,0,17,0,0,1,1,0,0,0
7.8958,male,S,0,3,0,28,0,1,1,1,0,0,0
6.975,male,S,0,3,0,45,0,1,1,2,0,0,0
7.8958,male,C,0,3,0,33,0,1,0,1,0,0,0
7.05,male,S,0,3,0,20,0,1,1,1,0,0,0
13,male,S,0,2,0,25,0,1,1,1,0,0,0
26,male,S,0,2,0,36.5,2,1,1,1,0,0,2
12.525,male,S,0,2,0,51,0,1,1,2,0,0,0
9.35,male,S,0,3,0,22,0,1,1,1,0,0,0
7.75,male,Q,0,3,0,65,0,1,2,3,0,0,0
29,female,S,1,2,1,22,1,0,1,1,0,1,1
57.9792,female,C,1,1,0,16,1,0,0,1,1,0,1
7.75,female,Q,0,3,0,21,0,0,2,1,0,0,0
7.125,male,S,0,3,0,35,0,1,1,1,0,0,0
31.275,female,S,0,3,1,39,5,0,1,1,0,1,2
76.7292,male,C,1,1,1,48,0,1,0,2,1,1,0
35.5,male,C,1,1,0,56,0,1,0,2,0,0,0
26,male,S,0,2,1,25,0,1,1,1,0,1,0
11.5,male,S,0,2,0,18,0,1,1,1,0,0,0
24.15,female,S,0,3,1,30,1,0,1,1,0,1,1
11.5,male,S,0,2,1,21,0,1,1,1,0,1,0
11.1333,male,S,1,3,1,4,1,1,1,0,0,1,1
26,female,S,1,2,0,25,1,0,1,1,0,0,1
7.75,male,Q,0,3,0,32,0,1,2,1,0,0,0
8.05,male,S,0,3,0,24,0,1,1,1,0,0,0
26,male,S,0,2,1,34,0,1,1,1,0,1,0
31.275,female,S,0,3,4,2,2,0,1,0,0,2,2
34.375,female,S,0,3,2,9,2,0,1,0,0,2,2
61.3792,male,C,0,1,0,51,1,1,0,2,1,0,1
26,male,S,1,2,1,3,1,1,1,0,0,1,1
26.55,male,S,0,1,0,62,0,1,1,2,0,0,0
7.8958,male,S,0,3,0,22,0,1,1,1,0,0,0
164.8667,female,S,1,1,0,31,2,0,1,1,2,0,2
28.5,male,S,0,1,0,45.5,0,1,1,2,0,0,0
9.5,male,S,0,3,0,28,0,1,1,1,0,0,0
12,female,C,1,2,0,17,0,0,0,1,0,0,0
16.7,female,S,1,3,0,24,2,0,1,1,0,0,2
90,female,Q,1,1,1,33,0,0,2,1,1,1,0
13,female,S,1,2,0,18,2,0,1,1,0,0,2
26.55,male,S,0,1,0,65,0,1,1,3,0,0,0
21,male,S,0,2,1,34,0,1,1,1,0,1,0
8.05,male,S,0,3,0,50,0,1,1,2,0,0,0
8.05,male,S,0,3,0,30,0,1,1,1,0,0,0
15.9,male,S,1,3,1,9,1,1,1,0,0,1,1
7.4958,male,S,0,3,0,24,0,1,1,1,0,0,0
26.25,female,S,1,2,0,7,2,0,1,0,0,0,2
31.275,female,S,0,3,4,11,2,0,1,0,0,2,2
106.425,male,C,0,1,1,50,0,1,0,2,2,1,0
8.05,male,S,0,3,0,16,0,1,1,1,0,0,0
8.05,male,S,0,3,0,44,0,1,1,2,0,0,0
23,female,S,1,2,0,18,1,0,1,1,0,0,1
26,male,S,0,2,0,39,0,1,1,1,0,0,0
151.55,female,S,1,1,0,22,0,0,1,1,2,0,0
7.775,male,S,0,3,0,33,0,1,1,1,0,0,0
211.3375,female,S,1,1,0,29,0,0,1,1,2,0,0
9.5,male,S,0,3,0,24,0,1,1,1,0,0,0
7.775,male,S,0,3,0,74,0,1,1,3,0,0,0
8.05,male,S,0,3,0,35,0,1,1,1,0,0,0
29.125,male,Q,0,3,4,2,1,1,2,0,0,2,1
41.5792,female,C,1,2,1,3,2,0,0,0,0,1,2
7.925,male,S,0,3,0,21,0,1,1,1,0,0,0
31.3875,female,S,1,3,4,5,2,0,1,0,0,2,2
7.225,male,C,0,3,0,30,0,1,0,1,0,0,0
20.2125,female,S,0,3,0,41,2,0,1,2,0,0,2
15.2458,female,C,1,3,0,29,2,0,0,1,0,0,2
0,male,S,0,1,0,40,0,1,1,2,0,0,0
10.5,male,S,0,2,0,36,0,1,1,1,0,0,0
0,male,S,0,3,0,19,0,1,1,1,0,0,0
